date,average_speed,average_watts,distance,total_elevation_gain,time_min,kmeans
2017-07-12,28.26,122.0,25.28,126.0,54,1
2017-07-07,24.69,122.5,51.05,607.0,183,0
2017-07-06,29.45,136.1,24.22,109.0,49,1
2017-07-06,27.63,164.6,81.82,1193.0,218,3
2017-07-05,27.11,108.6,24.58,124.0,55,1
2017-07-04,28.33,121.4,24.21,110.0,51,1
2017-07-03,24.81,89.0,24.45,123.0,59,0
2017-07-02,27.99,159.6,110.74,1503.0,255,3
2017-06-29,27.55,134.5,83.68,600.0,314,3
2017-06-23,17.86,106.1,42.87,1269.0,165,0
2017-06-22,27.72,161.3,111.66,1463.0,281,3
2017-06-21,27.84,119.1,24.24,117.0,52,1
2017-06-20,21.34,100.7,63.62,1099.0,198,0
2017-06-16,25.42,139.1,85.93,1506.0,232,3
2017-06-11,29.01,154.7,155.29,1894.0,403,2
2017-06-10,23.28,110.0,146.81,2183.0,441,2
2017-06-10,24.53,116.3,42.43,609.0,108,0
2017-06-09,26.2,102.1,24.22,124.0,56,1
2017-06-08,28.54,161.4,96.21,1229.0,231,3
2017-06-07,21.74,66.5,25.27,134.0,71,0
2017-06-04,23.28,121.3,164.57,2917.0,494,2
2017-06-03,24.88,117.3,122.04,1157.0,524,2
2017-06-02,23.7,120.0,87.79,1403.0,366,2
2017-06-01,21.43,112.5,152.02,3133.0,572,2
2017-06-01,21.83,113.9,82.04,1410.0,263,0
2017-05-30,22.63,96.9,24.92,319.0,66,0
2017-05-29,27.37,111.9,24.34,130.0,54,1
2017-05-26,22.47,131.3,155.28,3562.0,551,2
2017-05-25,26.85,153.5,101.23,1545.0,256,3
2017-05-24,25.88,101.9,24.56,128.0,57,1
2017-05-21,21.93,136.3,102.13,2737.0,368,2
2017-05-20,23.64,111.7,84.54,1265.0,305,3
2017-05-18,28.51,167.2,102.18,1364.0,249,3
2017-05-16,23.28,111.5,70.54,1123.0,203,0
2017-05-15,25.87,105.1,25.28,178.0,60,1
2017-05-14,24.12,128.7,52.88,926.0,134,0
2017-05-13,23.09,134.9,91.83,2011.0,265,2
2017-05-13,22.7,104.4,32.48,503.0,87,0
2017-05-12,26.82,111.0,24.14,120.0,55,1
2017-05-11,29.59,181.8,102.23,1322.0,235,3
2017-05-10,24.05,114.4,90.02,1379.0,240,3
2017-05-06,24.56,121.6,103.5,1118.0,329,3
2017-05-06,23.07,129.7,83.33,1655.0,268,3
2017-05-04,25.8,149.6,84.32,1395.0,221,3
2017-05-03,26.02,106.1,24.85,132.0,60,1
2017-04-30,25.66,124.7,72.31,1328.0,468,3
2017-04-29,25.39,133.7,171.69,2647.0,601,2
2017-04-21,18.48,147.8,83.72,2660.8,334,2
2017-04-19,24.56,138.3,40.03,522.2,153,0
2017-04-18,22.33,161.5,101.35,2577.2,378,2
2017-04-17,22.72,176.2,85.87,2213.9,308,2
2017-04-16,24.61,174.9,110.06,2207.8,338,2
2017-04-09,27.95,184.8,145.07,2320.8,371,2
2017-04-08,22.83,161.3,84.93,2395.8,245,2
2017-04-06,26.59,187.8,68.56,1206.4,179,3
2017-04-04,25.92,165.9,28.1,366.3,65,1
2017-04-01,27.28,159.2,111.88,1490.6,269,3
2017-04-01,22.3,133.3,35.05,695.1,100,0
2017-03-30,25.86,171.2,77.29,1091.1,206,3
2017-03-29,24.26,108.8,23.92,82.6,78,0
2017-03-25,29.03,187.8,111.08,1522.0,270,3
2017-03-24,29.73,163.6,25.17,58.3,54,1
2017-03-23,26.11,128.6,23.62,83.5,56,1
2017-03-19,27.39,140.1,119.3,852.0,456,3
2017-03-18,25.69,141.9,92.39,1202.4,272,3
2017-03-17,23.22,135.5,27.91,368.1,74,0
2017-03-16,26.93,131.2,22.16,58.6,52,1
2017-03-15,30.45,170.2,23.77,89.7,49,1
2017-03-11,26.95,175.0,56.25,621.6,149,3
2017-03-11,24.69,135.0,72.04,1121.3,201,3
2017-03-04,24.6,159.2,65.69,1011.7,182,3
2017-02-27,24.38,150.5,44.82,787.7,121,0
2017-02-26,25.63,148.3,83.11,1233.3,223,3
2017-02-24,27.19,178.2,27.66,364.6,63,1
2017-02-23,30.33,168.3,23.68,69.9,48,1
2017-02-23,25.56,162.8,27.96,377.5,76,1
2017-02-22,30.74,171.2,22.81,49.7,45,1
2017-02-20,25.14,150.6,43.67,543.7,121,1
2017-02-18,24.6,152.3,84.66,1117.9,269,3
2017-02-14,26.68,127.6,23.87,71.4,57,1
2016-12-28,25.36,99.1,63.48,215.1,198,0
2016-12-24,20.72,69.5,47.1,176.5,191,0
2016-12-10,23.73,142.1,85.12,1314.8,257,3
2016-12-04,25.69,128.9,103.62,510.8,269,3
2016-11-30,24.0,107.7,27.21,306.5,68,0
2016-11-27,23.4,129.4,74.66,953.0,210,3
2016-11-20,24.96,128.1,62.19,704.6,171,0
2016-11-02,21.97,134.5,53.69,714.9,160,0
2016-10-23,21.92,125.6,53.91,780.4,155,0
2016-10-05,20.03,169.4,121.2,3414.4,443,2
2016-09-29,25.02,123.7,47.99,541.0,117,0
2016-09-26,22.31,122.5,88.78,1241.2,267,3
2016-09-22,23.18,139.1,45.73,743.6,284,0
2016-09-21,26.18,122.6,23.01,59.6,53,1
2016-09-20,25.77,193.0,124.04,2250.4,367,2
2016-09-11,19.23,165.8,65.46,2007.4,279,2
2016-09-04,25.06,187.7,137.94,2383.0,364,2
2016-09-04,23.98,156.1,91.87,1563.2,295,3
2016-09-02,29.85,164.5,50.22,420.2,102,1
2016-09-01,23.9,135.1,83.59,999.0,226,3
2016-08-28,26.09,173.8,100.82,1734.6,258,3
2016-08-27,25.95,138.3,68.54,495.6,197,3
2016-08-25,21.96,144.0,78.55,1569.2,234,3
2016-08-23,24.42,111.2,47.48,499.9,123,0
2016-08-22,22.22,127.3,69.16,1187.3,219,0
2016-08-12,22.32,127.4,115.44,1383.7,401,2
2016-08-11,23.51,198.2,11.43,303.9,61,1
2016-08-11,23.23,104.5,25.24,171.6,89,0
2016-08-07,21.0,150.8,81.67,1573.1,341,2
2016-08-05,22.3,118.3,52.78,444.8,157,0
2016-08-01,20.0,172.1,43.08,1199.2,143,0
2016-07-29,21.76,118.8,76.57,1149.0,234,0
2016-07-28,22.58,101.7,34.75,378.4,103,0
2016-07-27,27.77,139.8,23.82,71.0,53,1
2016-07-27,26.01,149.0,64.31,898.3,150,3
2016-07-24,20.07,143.2,107.64,2213.3,443,2
2016-07-24,22.32,127.3,69.17,810.4,197,0
2016-07-17,20.93,173.1,105.2,2852.7,470,2
2016-07-16,20.65,127.7,103.64,1704.4,482,2
2016-07-16,22.22,154.2,70.08,1301.6,197,3
2016-07-11,19.25,161.8,35.65,1070.8,120,0
2016-07-10,22.4,143.5,63.56,866.3,180,0
2016-07-08,20.89,150.2,133.06,2853.8,474,2
2016-07-07,25.59,147.6,109.19,874.7,273,3
2016-07-05,25.06,122.0,61.62,654.5,152,0
2016-07-02,22.65,100.8,28.27,326.7,77,0
2016-07-01,25.26,143.3,75.85,1155.8,192,3
2016-06-28,24.15,129.9,46.14,414.3,119,0
2016-06-27,23.16,133.0,116.9,1868.5,338,2
2016-06-25,22.95,103.1,58.11,306.3,157,0
2016-06-23,23.41,149.5,86.15,1329.8,235,3
