date,average_speed,average_watts,distance,total_elevation_gain,type,time_min
2017-10-31,10.25,0.0,6.26,105.3,Run,36
2017-10-28,19.5,98.8,80.55,1420.0,Ride,296
2017-10-27,9.11,0.0,6.17,64.8,Run,42
2017-10-26,23.68,115.3,48.27,785.0,Ride,133
2017-10-25,24.21,85.8,23.59,120.0,Ride,58
2017-10-25,10.1,0.0,18.33,179.1,Run,136
2017-10-21,18.23,131.0,62.39,2046.0,Ride,223
2017-10-21,21.5,142.4,98.88,2602.0,Ride,308
2017-10-19,22.59,121.5,68.08,1299.0,Ride,187
2017-10-18,30.02,145.7,24.35,119.0,Ride,48
2017-10-18,22.15,109.9,37.18,639.0,Ride,101
2017-10-17,26.43,102.3,24.03,127.0,Ride,54
2017-10-17,21.32,83.5,25.93,304.0,Ride,81
2017-10-16,24.51,87.2,23.94,118.0,Ride,58
2017-10-15,19.9,134.7,109.16,3239.0,Ride,437
2017-10-14,26.25,136.1,126.38,1610.0,Ride,326
2017-10-07,24.14,176.6,140.52,3316.0,Ride,353
2017-10-06,25.18,188.4,99.37,2278.0,Ride,243
2017-10-05,21.88,104.4,32.54,539.0,Ride,100
2017-10-04,21.38,103.8,32.6,569.0,Ride,93
2017-10-01,18.26,108.6,34.81,1023.0,Ride,122
2017-09-30,17.8,108.2,49.76,1382.0,Ride,182
2017-09-28,26.08,139.5,111.43,1451.0,Ride,277
2017-09-26,9.5,0.0,9.72,135.3,Run,61
2017-09-24,26.49,147.8,144.01,2352.0,Ride,424
2017-09-24,25.68,145.6,112.27,1965.0,Ride,307
2017-09-23,24.78,145.7,89.7,1575.0,Ride,253
2017-09-21,28.3,127.9,24.2,122.0,Ride,53
2017-09-21,21.1,155.4,23.79,692.0,Ride,71
2017-09-20,26.63,111.6,24.33,120.0,Ride,54
2017-09-18,29.25,155.3,109.98,806.0,Ride,303
2017-09-17,22.6,129.1,131.15,2874.0,Ride,432
2017-09-17,26.87,159.7,92.33,1575.0,Ride,217
2017-09-14,27.62,166.2,70.78,1039.0,Ride,179
2017-09-13,28.93,134.6,24.19,118.0,Ride,52
2017-09-09,24.47,129.7,124.08,1965.0,Ride,432
2017-09-08,25.35,91.5,23.18,113.0,Ride,55
2017-09-07,27.94,127.6,23.47,119.0,Ride,50
2017-09-07,28.68,175.9,70.03,1053.0,Ride,176
2017-09-06,26.84,100.4,24.1,127.0,Ride,53
2017-09-06,19.59,117.4,33.97,884.0,Ride,110
2017-09-05,25.24,126.4,44.57,636.0,Ride,109
2017-09-04,27.31,115.3,25.16,126.0,Ride,56
2017-09-03,19.72,130.1,105.5,3161.0,Ride,390
2017-09-02,19.98,141.3,21.78,658.0,Ride,72
2017-08-31,25.45,141.2,60.05,1006.0,Ride,167
2017-08-30,31.61,161.0,24.4,117.0,Ride,48
2017-08-30,20.46,112.3,45.68,1014.0,Ride,146
2017-08-28,22.34,110.3,31.78,560.0,Ride,88
2017-08-25,26.6,100.0,24.06,109.0,Ride,54
2017-08-24,31.32,159.6,24.77,117.0,Ride,48
2017-08-24,25.5,147.1,70.37,1177.0,Ride,176
2017-08-23,28.16,119.8,24.28,108.0,Ride,53
2017-08-20,25.87,136.3,161.99,2759.0,Ride,411
2017-08-19,21.14,128.8,52.93,1396.0,Ride,164
2017-08-18,23.13,110.3,47.65,760.0,Ride,128
2017-08-17,29.98,152.2,24.39,146.0,Ride,50
2017-08-17,25.7,143.0,68.41,1037.0,Ride,192
2017-08-16,29.42,148.2,24.91,144.0,Ride,52
2017-08-16,20.42,121.8,36.7,954.0,Ride,109
2017-08-15,21.87,102.6,47.18,803.0,Ride,135
2017-08-11,10.81,0.0,9.63,126.0,Run,53
2017-08-10,30.21,190.6,86.48,1215.0,Ride,193
2017-08-08,25.03,130.6,78.94,1130.0,Ride,209
2017-08-07,30.03,143.9,24.12,145.0,Ride,48
2017-08-06,24.0,141.6,112.62,2288.2,Ride,385
2017-07-29,22.08,139.8,92.14,2513.0,Ride,300
2017-07-27,30.77,187.1,105.7,1210.0,Ride,249
2017-07-26,29.7,146.3,23.94,112.0,Ride,49
2017-07-21,23.8,111.9,38.81,559.0,Ride,100
2017-07-20,25.39,150.0,61.0,1191.0,Ride,174
2017-07-19,25.55,95.6,24.43,118.0,Ride,57
2017-07-19,20.01,117.8,37.19,1034.0,Ride,116
2017-07-18,24.16,112.9,25.28,310.0,Ride,63
2017-07-15,21.17,140.3,89.1,2338.0,Ride,311
2017-07-14,20.95,128.7,108.32,2664.0,Ride,409
2017-07-14,21.8,94.2,24.82,316.0,Ride,74
2017-07-13,28.31,120.6,23.81,108.0,Ride,50
2017-07-13,27.77,166.5,80.0,1248.0,Ride,210
