,average_speed,average_heartrate,average_watts,distance,elapsed_time,total_elevation_gain,type,commute,start_date_local
68,6.315,134.3,134.0,129465.0,6:14:57,2828.6,Ride,False,2018-02-16T10:29:06
69,6.349,134.5,138.6,115791.0,6:57:46,2606.6,Ride,False,2018-02-15T10:14:06
70,2.649,129.5,,17039.4,1:57:19,454.4,Run,False,2018-02-14T13:47:24
71,6.834,131.7,116.4,43567.2,1:49:48,605.0,VirtualRide,False,2018-02-13T18:48:21
72,2.316,133.4,,14464.9,1:49:15,529.1,Run,False,2018-02-11T11:31:10
73,7.691,125.7,128.5,73091.5,3:00:51,357.0,Ride,False,2018-02-10T13:06:38
74,6.645,125.9,112.6,29989.2,1:17:11,173.0,VirtualRide,False,2018-02-08T17:58:52
75,7.771,119.4,118.7,114702.0,4:20:33,454.0,Ride,False,2018-02-03T12:11:37
76,0.37,,,1000.0,0:45:00,0.0,Swim,False,2018-02-02T16:45:23
77,2.541,141.0,,6014.6,0:41:21,41.0,Run,False,2018-02-02T15:10:22
78,2.057,127.0,,8212.5,1:07:28,432.0,Run,False,2018-02-01T16:23:52
79,6.06,116.9,111.7,64437.4,3:06:12,1105.0,Ride,False,2018-01-31T12:29:42
80,6.581,132.6,112.9,38048.7,1:37:26,534.0,VirtualRide,False,2018-01-30T19:30:19
81,0.0,,,0.0,1:00:00,0.0,Swim,False,2018-01-29T19:30:00
82,7.771,131.5,124.0,113179.0,5:10:54,1310.0,Ride,False,2018-01-28T08:18:26
83,2.78,161.5,,7074.0,0:54:23,133.9,Run,False,2018-01-27T15:48:06
84,0.0,,,0.0,1:00:00,0.0,Swim,False,2018-01-26T19:30:00
85,6.808,118.9,99.9,77014.2,3:24:54,471.0,Ride,False,2018-01-25T11:08:20
86,2.698,162.1,,15048.8,1:40:16,138.6,Run,True,2018-01-24T16:13:20
87,7.108,128.9,110.4,25881.4,1:02:42,268.0,VirtualRide,False,2018-01-23T18:47:39
88,2.785,150.6,,5679.5,0:34:57,37.8,Run,True,2018-01-23T17:09:41
89,2.234,163.9,,18692.2,2:19:27,836.9,Run,False,2018-01-21T09:02:11
90,2.578,134.5,,7586.6,0:51:17,190.7,Run,False,2018-01-20T10:24:51
